id,tesi,unit,length,unit_2,diam,class,shoot_ID,tree,node,c,v,m,cl,nu,b,tot_buds_m+v+b+c,found_next_year,buds_in_sylleptic
212,AUTOR,cm,18,mm,4.06,Me,92,10,7,2,7,5,1,2,2,16,YES,18
213,AUTOR,cm,4,mm,2.12,Sh,93,10,5,1,2,2,0,0,3,8,YES,2
214,AUTOR,cm,3,mm,2.84,Sh,94,10,4,0,3,1,0,0,1,5,YES,0
215,AUTOR,cm,43.5,mm,6.9,VLo,95,10,16,4,10,16,10,26,3,33,YES,32
217,AUTOR,cm,26,mm,4.54,Lo,97,10,9,4,4,6,4,8,2,16,YES,14
219,AUTOR,cm,2.5,mm,1.14,Sh,99,10,2,1,1,0,0,0,0,2,YES,0
220,AUTOR,cm,72,mm,9.3,VLo,100,10,23,2,23,8,1,1,1,34,YES,12
222,AUTOR,cm,10,mm,3.86,Me,102,10,8,2,6,2,0,0,1,11,YES,4
223,AUTOR,cm,2.5,mm,3.46,Sh,103,10,5,1,0,4,1,3,2,7,YES,4
224,AUTOR,cm,33,mm,5.1,Lo,104,10,12,0,6,9,6,20,0,15,YES,0
226,AUTOR,cm,3.5,mm,2.8,Sh,106,10,5,1,3,1,0,0,1,6,YES,2
227,AUTOR,cm,30,mm,5.24,Lo,107,10,13,2,8,11,4,14,1,22,YES,14
229,AUTOR,cm,5.5,mm,3.08,Me,109,10,6,2,6,2,0,0,1,11,YES,6
230,AUTOR,cm,33,mm,4.78,Lo,110,9,17,3,6,11,4,13,3,23,YES,12
231,AUTOR,cm,43,mm,5.38,VLo,111,9,20,3,11,8,5,14,4,26,YES,12
235,AUTOR,cm,4.8,mm,4.14,Sh,115,9,5,2,3,2,1,2,0,7,YES,4
236,AUTOR,cm,38.5,mm,5.5,Lo,116,9,14,2,4,10,7,23,1,17,YES,6
237,AUTOR,cm,43.5,mm,6.4,VLo,117,9,18,2,13,12,6,17,0,27,YES,16
238,AUTOR,cm,2,mm,2.1,Sh,118,9,2,0,3,2,0,0,0,5,YES,0
