"tesi","Length","class","shoot","Tree","rank_node","c","v","m","cl","nu","b","tot_buds","fate","new_shoots","is_in_sylleptic","length2yo.cm.","length.newshoots","X.nodes2yo","c.1","v.1","m.1","cic","B","position"
"AUTOR",6.5,"Me",69,9,5,0,0,0,0,0,0,1,"V",1,"NO",2,"Sh",5,1,2,0,0,3,"AP"
"AUTOR",42,"VLo",70,10,16,0,0,0,1,2,0,1,"M",1,"NO",3,"Sh",5,0,4,0,1,1,"AP"
"AUTOR",5,"Sh",71,10,6,0,0,0,0,0,0,1,"M",1,"NO",2,"Sh",4,0,2,0,1,2,"AP"
"AUTOR",3,"Sh",72,10,4,0,0,0,0,0,0,1,"V",1,"NO",1.4,"Sh",5,1,3,0,0,2,"AP"
"AUTOR",38.5,"Lo",73,10,15,0,0,0,0,0,0,1,"M",1,"NO",2.3,"Sh",5,0,3,0,1,2,"AP"
"AUTOR",14.5,"Me",74,10,8,0,0,0,0,0,0,1,"V",1,"NO",2.1,"Sh",6,1,3,0,0,3,"AP"
"AUTOR",35.5,"Lo",75,10,16,0,0,0,0,0,0,1,"V",1,"NO",19.5,"Me",10,7,8,1,0,0,"AP"
"AUTOR",13.5,"Me",76,10,8,0,0,0,0,0,0,1,"M",1,"NO",1.3,"Sh",4,0,3,0,0,1,"AP"
"AUTOR",28,"Lo",77,10,17,0,0,0,0,0,0,1,"V",1,"NO",2.5,"Sh",5,0,2,0,2,1,"AP"
"AUTOR",14,"Me",78,10,8,0,0,0,0,0,0,1,"M",1,"NO",3,"Sh",5,0,4,0,1,1,"AP"
"AUTOR",22,"Lo",79,10,10,0,0,0,1,4,0,1,"M",1,"NO",3.8,"Sh",6,0,5,0,2,1,"AP"
"AUTOR",38,"Lo",80,10,12,0,0,0,0,0,0,1,"V",1,"NO",0.7,"Sh",1,0,1,1,1,0,"AP"
"AUTOR",66.5,"VLo",83,10,18,0,2,0,0,0,0,3,"V",1,"NO",6,"Me",3,0,0,0,3,0,"AP"
"AUTOR",16,"Me",84,10,8,0,0,0,0,0,0,1,"M",1,"NO",1,"Sh",3,0,1,1,0,1,"AP"
"AUTOR",22.5,"Lo",85,10,8,0,0,0,0,0,0,1,"M",1,"NO",5.5,"Me",6,6,5,3,0,1,"AP"
"AUTOR",45,"VLo",86,10,14,0,1,0,1,6,0,2,"M",1,"NO",4.8,"Sh",5,0,3,0,1,2,"AP"
"AUTOR",4.5,"Sh",88,10,4,0,0,0,1,2,0,1,"M",1,"NO",3.5,"Sh",8,0,4,0,1,4,"AP"
"AUTOR",41,"VLo",90,10,19,0,0,0,0,0,0,1,"C",1,"YES",6.2,"Me",6,0,2,1,2,1,"AP"
"AUTOR",2,"Sh",91,10,3,0,0,0,0,0,0,1,"V",1,"NO",3.6,"Sh",3,0,2,0,0,1,"AP"
"AUTOR",18,"Me",92,10,7,0,0,0,0,0,0,1,"V",1,"NO",9.3,"Me",8,3,8,0,0,1,"AP"
"AUTOR",4,"Sh",93,10,5,0,0,2,0,0,0,3,"V",1,"NO",3.5,"Sh",5,0,4,0,0,1,"AP"
"AUTOR",3,"Sh",94,10,4,0,1,0,0,0,0,2,"V",1,"NO",14,"Me",10,4,6,3,1,2,"AP"
"AUTOR",43.5,"VLo",95,10,16,0,0,0,0,0,0,1,"M",1,"NO",3.3,"Sh",5,2,3,3,0,1,"AP"
"AUTOR",26,"Lo",97,10,9,0,0,0,1,2,0,1,"M",1,"NO",1.1,"Sh",5,0,4,0,1,1,"AP"
"AUTOR",2.5,"Sh",99,10,2,0,0,0,0,0,0,1,"V",1,"NO",3,"Sh",6,0,5,0,0,2,"AP"
"AUTOR",72,"VLo",100,10,23,0,2,0,0,0,0,3,"V",1,"NO",16,"Me",9,0,1,5,0,5,"AP"
"AUTOR",10,"Me",102,10,8,0,0,0,0,0,0,1,"V",1,"NO",3.6,"Sh",5,3,3,1,2,0,"AP"
"AUTOR",2.5,"Sh",103,10,5,0,0,0,0,0,0,1,"M",1,"NO",1.5,"Sh",1,0,0,0,1,0,"AP"
"AUTOR",33,"Lo",104,10,12,0,0,0,0,0,0,1,"M",1,"NO",3.8,"Sh",6,0,3,0,1,2,"AP"
"AUTOR",3.5,"Sh",106,10,5,0,0,0,0,0,0,1,"V",1,"NO",1.8,"Sh",5,0,3,0,0,2,"AP"
"AUTOR",30,"Lo",107,10,13,0,0,0,0,0,0,1,"M",1,"NO",5,"Sh",6,0,4,0,1,2,"AP"
"AUTOR",5.5,"Me",109,10,6,0,0,0,0,0,0,1,"V",1,"NO",1.1,"Sh",6,0,2,0,1,3,"AP"
"AUTOR",33,"Lo",110,9,17,0,0,0,0,0,0,1,"V",1,"NO",2.8,"Sh",5,0,3,0,1,1,"AP"
"AUTOR",43,"VLo",111,9,20,0,0,0,0,0,0,1,"V",1,"NO",2.7,"Sh",4,0,4,0,1,0,"AP"
"AUTOR",4.8,"Sh",115,9,5,0,0,0,0,0,0,1,"V",1,"NO",1.9,"Sh",5,1,2,0,0,3,"AP"
"AUTOR",38.5,"Lo",116,9,14,0,0,0,0,0,0,1,"V",1,"NO",5,"Sh",5,0,2,0,1,3,"AP"
"AUTOR",43.5,"VLo",117,9,18,0,1,0,0,0,0,2,"V",1,"NO",13.5,"Me",10,4,5,5,0,2,"AP"
"AUTOR",2,"Sh",118,9,2,0,1,2,0,0,0,4,"V",1,"NO",1,"Sh",4,1,0,0,0,6,"AP"
