"","ï..year","thesis","length","shoot1yo","length1yo","rank1yo","c","v","m","b","X.oss","X.newshoots"
"156",2020,"AUTOR","VLo",14,45.4,7,0,0,1,0,1,1
"157",2020,"AUTOR","VLo",14,45.4,8,0,0,1,0,1,1
"158",2020,"AUTOR","VLo",14,45.4,9,0,0,1,0,1,1
"159",2020,"AUTOR","VLo",14,45.4,10,0,0,1,0,1,1
"160",2020,"AUTOR","VLo",14,45.4,11,0,0,1,0,1,1
"161",2020,"AUTOR","VLo",14,45.4,12,0,0,1,0,1,1
"162",2020,"AUTOR","VLo",14,45.4,13,0,0,1,0,1,1
"163",2020,"AUTOR","VLo",14,45.4,14,0,1,0,0,1,1
"164",2020,"AUTOR","VLo",14,45.4,15,0,1,0,0,1,1
"165",2020,"AUTOR","VLo",14,45.4,16,0,1,0,0,1,1
"166",2020,"AUTOR","VLo",14,45.4,17,0,2,0,0,2,1
"167",2020,"AUTOR","VLo",15,44,1,0,1,0,0,1,0
"168",2020,"AUTOR","VLo",15,44,2,0,1,0,0,1,1
"169",2020,"AUTOR","VLo",15,44,3,0,1,0,0,1,1
"170",2020,"AUTOR","VLo",15,44,4,0,1,1,0,2,2
"171",2020,"AUTOR","VLo",15,44,5,2,0,4,0,5,2
"172",2020,"AUTOR","VLo",15,44,6,2,1,2,0,4,2
"173",2020,"AUTOR","VLo",15,44,7,0,0,1,0,1,1
"174",2020,"AUTOR","VLo",15,44,8,5,2,1,0,4,2
"175",2020,"AUTOR","VLo",15,44,9,0,0,1,0,1,1
"176",2020,"AUTOR","VLo",15,44,10,0,0,1,0,1,1
"177",2020,"AUTOR","VLo",15,44,11,0,0,1,0,1,1
"178",2020,"AUTOR","VLo",15,44,12,0,0,1,0,1,1
"179",2020,"AUTOR","VLo",15,44,13,0,0,1,0,1,1
"180",2020,"AUTOR","VLo",15,44,14,0,1,0,0,1,1
"181",2020,"AUTOR","VLo",15,44,15,0,1,0,0,1,1
"182",2020,"AUTOR","VLo",15,44,16,0,2,0,0,2,1
"183",2020,"AUTOR","Lo",16,33,1,0,0,0,1,1,1
"184",2020,"AUTOR","Lo",16,33,2,0,0,0,1,1,1
"185",2020,"AUTOR","Lo",16,33,3,0,1,0,0,1,1
"186",2020,"AUTOR","Lo",16,33,4,0,1,0,0,1,1
"187",2020,"AUTOR","Lo",16,33,5,0,1,0,0,1,3
"188",2020,"AUTOR","Lo",16,33,6,0,0,1,0,1,2
"189",2020,"AUTOR","Lo",16,33,7,4,0,5,0,6,1
"190",2020,"AUTOR","Lo",16,33,8,3,2,0,0,3,2
"191",2020,"AUTOR","Lo",16,33,9,5,2,0,0,3,1
"192",2020,"AUTOR","Lo",16,33,10,1,2,0,0,3,1
"193",2020,"AUTOR","Lo",16,33,11,5,2,0,0,3,2
"194",2020,"AUTOR","Lo",16,33,12,0,0,1,0,1,1
"195",2020,"AUTOR","Lo",16,33,13,5,1,0,0,2,1
"196",2020,"AUTOR","Lo",16,33,14,5,1,0,0,2,1
"197",2020,"AUTOR","Lo",17,21,1,0,1,0,0,1,0
"198",2020,"AUTOR","Lo",17,21,2,0,1,0,0,1,1
"199",2020,"AUTOR","Lo",17,21,3,0,0,1,0,1,1
"200",2020,"AUTOR","Lo",17,21,4,0,0,2,0,2,1
"201",2020,"AUTOR","Lo",17,21,5,1,1,2,0,4,2
"202",2020,"AUTOR","Lo",17,21,6,0,0,1,0,1,1
"203",2020,"AUTOR","Lo",17,21,7,2,1,0,0,2,2
"204",2020,"AUTOR","Lo",17,21,8,0,0,1,0,1,1
"205",2020,"AUTOR","Me",18,8.5,1,0,0,1,0,1,1
"206",2020,"AUTOR","Me",18,8.5,2,0,0,1,0,1,1
"207",2020,"AUTOR","Me",18,8.5,3,0,1,0,0,1,1
"208",2020,"AUTOR","Me",18,8.5,4,4,3,0,0,4,1
"209",2020,"AUTOR","Me",18,8.5,5,3,0,3,0,4,1
"210",2020,"AUTOR","Lo",19,38,1,0,1,0,0,1,1
"211",2020,"AUTOR","Lo",19,38,2,0,0,0,1,1,0
"212",2020,"AUTOR","Lo",19,38,3,0,0,0,1,1,0
"213",2020,"AUTOR","Lo",19,38,4,0,0,1,0,1,1
"214",2020,"AUTOR","Lo",19,38,5,4,2,1,0,4,2
"215",2020,"AUTOR","Lo",19,38,6,0,0,4,0,4,2
"216",2020,"AUTOR","Lo",19,38,7,0,1,0,0,1,1
"217",2020,"AUTOR","Lo",19,38,8,4,3,0,0,4,1
"218",2020,"AUTOR","Lo",19,38,9,0,0,1,0,1,1
"219",2020,"AUTOR","Lo",19,38,10,3,1,1,0,3,2
"220",2020,"AUTOR","Lo",19,38,11,0,0,1,0,1,1
