"tesi","Length","type","shoot","Tree","rank_node","c","v","m","cl","nu","b","tot_buds","new_shoots","n_lateral_buds","n_apical_buds","which_apicals"
"AUTOR",57,"VLo",10,8,5,0,4,5,1,1,0,9,3,9,0,NA
"AUTOR",57,"VLo",10,8,6,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",57,"VLo",10,8,7,0,0,1,1,3,0,1,1,1,0,NA
"AUTOR",57,"VLo",10,8,8,0,0,1,0,0,0,1,0,1,0,NA
"AUTOR",57,"VLo",10,8,9,0,0,1,1,4,0,1,1,1,0,NA
"AUTOR",57,"VLo",10,8,10,0,0,1,0,0,0,1,1,1,0,NA
"AUTOR",57,"VLo",10,8,11,0,0,1,1,2,0,1,1,1,0,NA
"AUTOR",57,"VLo",10,8,12,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",57,"VLo",10,8,13,0,0,1,1,2,0,1,1,1,0,NA
"AUTOR",2.31,"Sh",11,8,1,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",2.31,"Sh",11,8,2,1,1,0,0,0,0,3,0,2,1,"V"
"AUTOR",48,"VLo",12,8,1,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",48,"VLo",12,8,2,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",48,"VLo",12,8,3,0,1,1,1,2,0,2,1,2,0,NA
"AUTOR",48,"VLo",12,8,4,0,0,1,0,0,0,1,1,1,0,NA
"AUTOR",48,"VLo",12,8,5,1,4,1,1,2,0,6,2,6,0,NA
"AUTOR",48,"VLo",12,8,6,1,0,3,1,3,0,4,1,4,0,NA
"AUTOR",48,"VLo",12,8,7,0,0,1,1,2,0,1,1,1,0,NA
"AUTOR",48,"VLo",12,8,8,1,1,1,1,4,0,3,2,3,0,NA
"AUTOR",48,"VLo",12,8,9,0,0,1,0,0,0,1,1,1,0,NA
"AUTOR",48,"VLo",12,8,10,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",48,"VLo",12,8,11,0,0,1,1,3,0,1,1,1,0,NA
"AUTOR",48,"VLo",12,8,12,0,0,1,1,3,0,1,1,1,0,NA
"AUTOR",48,"VLo",12,8,13,0,0,1,1,4,0,1,1,1,0,NA
"AUTOR",48,"VLo",12,8,14,0,0,1,1,4,0,1,1,1,0,NA
"AUTOR",48,"VLo",12,8,15,0,2,0,1,3,0,3,0,2,1,"M"
"AUTOR",37.5,"Lo",13,8,1,0,1,0,0,0,0,1,0,1,0,NA
"AUTOR",37.5,"Lo",13,8,2,1,1,3,0,0,0,5,1,5,0,NA
"AUTOR",37.5,"Lo",13,8,3,0,0,1,1,3,0,1,1,1,0,NA
"AUTOR",37.5,"Lo",13,8,4,0,0,1,1,3,0,1,1,1,0,NA
"AUTOR",37.5,"Lo",13,8,5,0,0,1,1,2,0,1,1,1,0,NA
"AUTOR",37.5,"Lo",13,8,6,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",37.5,"Lo",13,8,7,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",37.5,"Lo",13,8,8,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",37.5,"Lo",13,8,9,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",37.5,"Lo",13,8,10,0,0,1,1,4,0,1,1,1,0,NA
"AUTOR",37.5,"Lo",13,8,11,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",37.5,"Lo",13,8,12,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",37.5,"Lo",13,8,13,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",37.5,"Lo",13,8,14,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",45.4,"VLo",14,8,1,0,1,0,0,0,0,1,0,1,0,NA
"AUTOR",45.4,"VLo",14,8,2,0,0,1,1,1,0,1,1,1,0,NA
"AUTOR",45.4,"VLo",14,8,3,0,1,0,0,0,0,1,0,1,0,NA
"AUTOR",45.4,"VLo",14,8,4,1,1,3,1,2,0,5,2,5,0,NA
"AUTOR",45.4,"VLo",14,8,5,0,0,1,1,2,0,1,1,1,0,NA
"AUTOR",45.4,"VLo",14,8,6,0,0,1,1,4,0,1,1,1,0,NA
"AUTOR",45.4,"VLo",14,8,7,0,0,1,1,2,0,1,1,1,0,NA
"AUTOR",45.4,"VLo",14,8,8,0,0,1,1,3,0,1,1,1,0,NA
"AUTOR",45.4,"VLo",14,8,9,0,0,1,1,3,0,1,1,1,0,NA
"AUTOR",45.4,"VLo",14,8,10,0,0,1,1,3,0,1,1,1,0,NA
"AUTOR",45.4,"VLo",14,8,11,0,0,1,1,4,0,1,1,1,0,NA
"AUTOR",45.4,"VLo",14,8,12,0,0,1,0,0,0,1,1,1,0,NA
"AUTOR",45.4,"VLo",14,8,13,0,0,1,0,0,0,1,1,1,0,NA
"AUTOR",45.4,"VLo",14,8,14,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",45.4,"VLo",14,8,15,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",45.4,"VLo",14,8,16,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",45.4,"VLo",14,8,17,0,1,0,0,0,0,2,0,1,1,"V"
"AUTOR",44,"VLo",15,8,1,0,1,0,0,0,0,1,0,1,0,NA
"AUTOR",44,"VLo",15,8,2,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",44,"VLo",15,8,3,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",44,"VLo",15,8,4,0,1,1,2,4,0,2,2,2,0,NA
"AUTOR",44,"VLo",15,8,5,1,0,4,1,2,0,5,2,5,0,NA
"AUTOR",44,"VLo",15,8,6,1,1,2,1,3,0,4,2,4,0,NA
"AUTOR",44,"VLo",15,8,7,0,0,1,0,0,0,1,1,1,0,NA
"AUTOR",44,"VLo",15,8,8,1,2,1,1,4,0,4,2,4,0,NA
"AUTOR",44,"VLo",15,8,9,0,0,1,1,3,0,1,1,1,0,NA
