year,thesis,length,shoot1yo,length1yo,rank1yo,c,v,m,b,#oss,year,shoot1yo,rank1yo,#newshoots,dead buds
2020,AUTOR,Lo,16,33,13,5,1,0,0,2,2021,16,13,1,-1
2020,AUTOR,Lo,16,33,14,5,1,0,0,2,2021,16,14,1,-1
2020,AUTOR,Lo,17,21,1,0,1,0,0,1,2021,17,1,0,-1
2020,AUTOR,Lo,17,21,2,0,1,0,0,1,2021,17,2,1,0
2020,AUTOR,Lo,17,21,3,0,0,1,0,1,2021,17,3,1,0
2020,AUTOR,Lo,17,21,4,0,0,2,0,2,2021,17,4,1,-1
2020,AUTOR,Lo,17,21,5,1,1,2,0,4,2021,17,5,2,-2
2020,AUTOR,Lo,17,21,6,0,0,1,0,1,2021,17,6,1,0
2020,AUTOR,Lo,17,21,7,2,1,0,0,2,2021,17,7,2,0
2020,AUTOR,Lo,17,21,8,0,0,1,0,1,2021,17,8,1,0
2020,AUTOR,Me,18,8.5,1,0,0,1,0,1,2021,18,1,1,0
2020,AUTOR,Me,18,8.5,2,0,0,1,0,1,2021,18,2,1,0
2020,AUTOR,Me,18,8.5,3,0,1,0,0,1,2021,18,3,1,0
2020,AUTOR,Me,18,8.5,4,4,3,0,0,4,2021,18,4,1,-3
2020,AUTOR,Me,18,8.5,5,3,0,3,0,4,2021,18,5,1,-3
2020,AUTOR,Lo,19,38,1,0,1,0,0,1,2021,19,1,1,0
2020,AUTOR,Lo,19,38,2,0,0,0,1,1,2021,19,2,0,-1
2020,AUTOR,Lo,19,38,3,0,0,0,1,1,2021,19,3,0,-1
2020,AUTOR,Lo,19,38,4,0,0,1,0,1,2021,19,4,1,0
2020,AUTOR,Lo,19,38,5,4,2,1,0,4,2021,19,5,2,-2
2020,AUTOR,Lo,19,38,6,0,0,4,0,4,2021,19,6,2,-2
2020,AUTOR,Lo,19,38,7,0,1,0,0,1,2021,19,7,1,0
2020,AUTOR,Lo,19,38,8,4,3,0,0,4,2021,19,8,1,-3
2020,AUTOR,Lo,19,38,9,0,0,1,0,1,2021,19,9,1,0
2020,AUTOR,Lo,19,38,10,3,1,1,0,3,2021,19,10,2,-1
2020,AUTOR,Lo,19,38,11,0,0,1,0,1,2021,19,11,1,0
2020,AUTOR,Lo,19,38,12,0,0,1,0,1,2021,19,12,1,0
2020,AUTOR,Lo,19,38,13,0,0,1,0,1,2021,19,13,1,0
2020,AUTOR,Lo,19,38,14,0,0,1,0,1,2021,19,14,1,0
2020,AUTOR,Lo,19,38,15,0,2,0,0,2,2021,19,15,1,-1
2020,AUTOR,Lo,20,38,1,0,1,0,0,1,2021,20,1,1,0
2020,AUTOR,Lo,20,38,2,0,1,0,0,1,2021,20,2,1,0
2020,AUTOR,Lo,20,38,3,0,1,0,0,1,2021,20,3,1,0
2020,AUTOR,Lo,20,38,4,0,0,1,0,1,2021,20,4,1,0
2020,AUTOR,Lo,20,38,5,0,0,1,0,1,2021,20,5,1,0
2020,AUTOR,Lo,20,38,6,0,0,1,0,2,2021,20,6,0,-2
2020,AUTOR,Lo,20,38,7,0,0,1,0,1,2021,20,7,1,0
2020,AUTOR,Lo,20,38,8,0,0,1,0,2,2021,20,8,0,-2
2020,AUTOR,Lo,20,38,9,0,0,1,0,1,2021,20,9,1,0
2020,AUTOR,Lo,20,38,10,0,0,1,0,1,2021,20,10,1,0
2020,AUTOR,Lo,20,38,11,0,0,1,0,1,2021,20,11,1,0
2020,AUTOR,Lo,20,38,12,0,0,1,0,1,2021,20,12,1,0
2020,AUTOR,Lo,20,38,13,0,0,1,0,1,2021,20,13,1,0
2020,AUTOR,Lo,20,38,14,0,1,0,0,1,2021,20,14,1,0
2020,AUTOR,Me,21,11.8,1,0,0,0,1,1,2021,21,1,0,-1
2020,AUTOR,Me,21,11.8,2,0,1,0,0,1,2021,21,2,0,-1
2020,AUTOR,Me,21,11.8,3,0,0,0,1,1,2021,21,3,0,-1
2020,AUTOR,Me,21,11.8,4,4,3,0,0,4,2021,21,4,1,-3
2020,AUTOR,Me,21,11.8,5,3,1,1,0,3,2021,21,5,2,-1
2020,AUTOR,Me,21,11.8,6,0,0,1,0,1,2021,21,6,1,0
2020,AUTOR,Sh,22,2.5,1,0,1,0,0,1,2021,22,1,0,-1
2020,AUTOR,Sh,22,2.5,2,1,0,0,0,1,2021,22,2,1,0
2020,AUTOR,Sh,22,2.5,3,1,0,0,0,1,2021,22,3,1,0
2020,AUTOR,Lo,23,39,1,0,1,0,0,1,2021,23,1,1,0
2020,AUTOR,Lo,23,39,2,0,0,1,0,1,2021,23,2,1,0
2020,AUTOR,Lo,23,39,3,0,0,1,0,1,2021,23,3,1,0
2020,AUTOR,Lo,23,39,4,0,1,1,0,2,2021,23,4,1,-1
2020,AUTOR,Lo,23,39,5,4,5,0,0,6,2021,23,5,1,-5
2020,AUTOR,Lo,23,39,6,0,0,1,0,1,2021,23,6,1,0
