note,#ID,date,tesi,Fila,pianta,shoot,length (cm),diametro (mm),type,#nodes,internodo(cm),Amenti,Legno,Miste,cluster,nuts,Cieche,#osserv,oss/node,nut set,%M,%L,%A,%C,,,,,,
,64,2020,inne,3,4,64,6,3.61,Me,6,1.00,2,3,3,0,0,3,11,1.83,0%,27%,27%,18%,27%,,,,,,
,65,2020,inne,3,4,65,39,5.48,Lo,15,2.60,6,15,3,0,0,3,27,1.80,0%,11%,56%,22%,11%,,,,,,
,66,2020,inne,3,4,66,9,3.69,Me,6,1.50,3,5,0,0,0,3,11,1.83,,0%,45%,27%,27%,,,,,,
,67,2020,inne,3,4,67,6,3.43,Me,5,1.20,4,2,5,0,0,2,13,2.60,0%,38%,15%,31%,15%,,,,,,
,68,2020,inne,3,4,68,20,4.2,Me,8,2.50,5,6,5,2,6,3,19,2.38,120%,26%,32%,26%,16%,,,,,,
,69,2020,inne,3,4,69,15,3.76,Me,6,2.50,4,4,3,0,0,2,13,2.17,0%,23%,31%,31%,15%,,,,,,
,70,2020,inne,3,3,70,27,5.37,Lo,14,1.93,6,6,12,5,23,3,27,1.93,192%,44%,22%,22%,11%,,,,,,
,71,2020,inne,3,3,71,3,2.33,Sh,4,0.75,1,1,1,0,0,3,6,1.50,0%,17%,17%,17%,50%,,,,,,
,72,2020,inne,3,3,72,11,4.06,Me,6,1.83,4,4,1,1,4,4,13,2.17,400%,8%,31%,31%,31%,,,,,,
,73,2020,inne,3,3,73,34,5.37,Lo,13,2.62,8,10,6,3,7,3,27,2.08,117%,22%,37%,30%,11%,,,,,,
,74,2020,inne,3,3,74,7.5,3.28,Me,5,1.50,8,2,3,0,0,1,14,2.80,0%,21%,14%,57%,7%,,,,,,
,75,2020,inne,3,3,75,33,4.64,Lo,17,1.94,7,8,9,7,14,2,26,1.53,156%,35%,31%,27%,8%,,,,,,
,76,2020,inne,3,3,76,7,2.59,Me,7,1.00,6,2,3,1,1,3,14,2.00,33%,21%,14%,43%,21%,,,,,,
,77,2020,inne,3,3,77,38,6.61,Lo,17,2.24,7,9,9,5,10,4,29,1.71,111%,31%,31%,24%,14%,,,,,,
,78,2020,inne,3,3,78,28,5.01,Lo,13,2.15,7,6,4,0,0,5,22,1.69,0%,18%,27%,32%,23%,,,,,,
,79,2020,inne,3,3,79,4.5,2.73,Sh,4,1.13,3,1,4,2,4,1,9,2.25,100%,44%,11%,33%,11%,,,,,,
,80,2020,inne,3,3,80,25,4.68,Lo,9,2.78,8,6,3,2,4,3,20,2.22,133%,15%,30%,40%,15%,,,,,,
,81,2020,inne,3,3,81,21.8,4.19,Lo,9,2.42,6,4,7,5,12,2,19,2.11,171%,37%,21%,32%,11%,,,,,,
,82,2020,inne,3,3,82,10,2.79,Me,6,1.67,6,1,4,0,0,4,15,2.50,0%,27%,7%,40%,27%,,,,,,
,83,2020,inne,3,3,83,44,6.14,VLo,13,3.38,7,5,10,4,9,0,22,1.69,90%,45%,23%,32%,0%,,,,,,
,84,2020,inne,3,3,84,42,6.61,VLo,16,2.63,6,7,11,5,11,4,28,1.75,100%,39%,25%,21%,14%,,,,,,
,85,2020,inne,3,3,85,18,4.35,Me,8,2.25,6,4,4,2,5,3,17,2.13,125%,24%,24%,35%,18%,,,,,,
,86,2020,inne,3,3,86,32,4.44,Lo,11,2.91,9,6,10,2,6,3,28,2.55,60%,36%,21%,32%,11%,,,,,,
,87,2020,inne,3,3,87,38,6.54,Lo,14,2.71,18,10,6,1,1,3,37,2.64,17%,16%,27%,49%,8%,,,,,,
,88,2020,inne,3,3,88,6,2.82,Me,5,1.20,2,1,3,0,0,3,9,1.80,0%,33%,11%,22%,33%,,,,,,
,89,2020,inne,3,3,89,15,3.62,Me,7,2.14,2,1,7,2,4,2,12,1.71,57%,58%,8%,17%,17%,,,,,,
