"tesi","Length","Diam","class","shoot","Tree","Length.node.","rank_node","normal_distance","median_distance","distance_abs","c","v","m","cl","nu","b","tot_buds","fate","new_shoots","from_","length2yo.cm.","length.newshoots","X.nodes2yo","c.1","v.1","m.1","cic.1","cl.1","B.1"
"AUTOR",9,3.7,"Me",3,8,6,1,0.42,-2.5,2.5,0,0,0,0,0,0,1,"V",0,"PROL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",9,3.7,"Me",3,8,6,2,0.25,-1.5,1.5,0,0,0,0,0,0,1,"V",0,"PROL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",9,3.7,"Me",3,8,6,3,0.08,-0.5,0.5,0,0,0,0,0,0,1,"V",0,"PROL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",9,3.7,"Me",3,8,6,4,0.08,0.5,0.5,0,0,0,1,2,0,1,"M",1,"PROL",1,"Sh",3,0,1,0,1,0,1
"AUTOR",9,3.7,"Me",3,8,6,5,0.25,1.5,1.5,0,0,0,1,4,0,1,"M",1,"PROL",3.5,"Sh",6,0,4,0,0,0,2
"AUTOR",9,3.7,"Me",3,8,6,6,0.42,2.5,2.5,0,2,0,0,0,0,3,"M",1,"PROL",3,"Sh",1,0,0,0,1,0,0
"AUTOR",9,3.7,"Me",3,8,6,6,0.42,2.5,2.5,0,1,1,0,0,0,3,"V",1,"PROL",4,"Sh",1,0,0,0,1,0,0
"AUTOR",9,3.7,"Me",3,8,6,6,0.42,2.5,2.5,0,1,1,0,0,0,3,"V",0,"PROL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",48,7.43,"VLo",4,8,17,1,0.47,-8,8,0,0,0,0,0,0,1,"V",1,"PROL",1,"Sh",2,0,1,0,0,0,1
"AUTOR",48,7.43,"VLo",4,8,17,2,0.41,-7,7,0,0,0,0,0,0,1,"V",1,"PROL",1,"Sh",3,1,3,0,0,0,1
"AUTOR",48,7.43,"VLo",4,8,17,3,0.35,-6,6,0,0,0,0,0,0,1,"V",1,"PROL",1,"Sh",3,0,2,0,1,0,0
"AUTOR",48,7.43,"VLo",4,8,17,4,0.29,-5,5,0,0,0,0,0,0,1,"V",1,"PROL",2,"Sh",4,1,1,0,0,0,2
"AUTOR",48,7.43,"VLo",4,8,17,5,0.24,-4,4,0,0,0,1,4,0,1,"M",1,"PROL",3.5,"Sh",4,0,2,0,1,0,2
"AUTOR",48,7.43,"VLo",4,8,17,6,0.18,-3,3,0,0,0,1,6,0,1,"M",1,"PROL",3.5,"Sh",4,0,3,0,1,0,1
"AUTOR",48,7.43,"VLo",4,8,17,7,0.12,-2,2,0,0,0,0,0,0,1,"V",1,"PROL",5,"Sh",5,4,2,0,0,0,2
"AUTOR",48,7.43,"VLo",4,8,17,8,0.06,-1,1,0,0,0,0,0,0,1,"V",1,"PROL",5,"Sh",6,3,2,0,0,0,2
"AUTOR",48,7.43,"VLo",4,8,17,9,0,0,0,0,0,0,0,0,0,1,"V",1,"PROL",5,"Sh",6,3,2,0,0,0,1
"AUTOR",48,7.43,"VLo",4,8,17,10,0.06,1,1,0,0,0,0,0,0,1,"V",1,"PROL",5,"Sh",6,2,3,0,0,0,2
"AUTOR",48,7.43,"VLo",4,8,17,11,0.12,2,2,0,0,0,0,0,0,1,"V",1,"PROL",4,"Sh",5,2,2,0,0,0,2
"AUTOR",48,7.43,"VLo",4,8,17,12,0.18,3,3,0,0,0,0,0,0,1,"V",1,"PROL",3,"Sh",4,1,3,0,0,0,1
"AUTOR",48,7.43,"VLo",4,8,17,13,0.24,4,4,0,0,0,0,0,0,1,"V",1,"PROL",4,"Sh",5,1,2,0,1,0,2
"AUTOR",48,7.43,"VLo",4,8,17,14,0.29,5,5,0,0,0,0,0,0,1,"V",1,"PROL",6,"Me",6,2,4,0,1,0,2
"AUTOR",48,7.43,"VLo",4,8,17,15,0.35,6,6,0,0,0,0,0,0,1,"V",1,"PROL",6,"Me",5,2,4,0,0,0,1
"AUTOR",48,7.43,"VLo",4,8,17,16,0.41,7,7,0,0,0,0,0,0,1,"V",1,"PROL",8,"Me",5,2,5,0,1,0,0
"AUTOR",48,7.43,"VLo",4,8,17,17,0.47,8,8,0,2,0,0,0,0,3,"V",1,"PROL",8,"Me",5,2,5,0,1,0,1
"AUTOR",48,7.43,"VLo",4,8,17,17,0.47,8,8,0,2,0,0,0,0,3,"V",1,"PROL",2,"Sh",3,3,2,0,0,0,1
"AUTOR",48,7.43,"VLo",4,8,17,17,0.47,8,8,0,2,0,0,0,0,3,"V",1,"PROL",21,"Lo",11,3,6,3,0,0,2
"AUTOR",41,7.17,"VLo",5,8,17,1,0.47,-8,8,0,0,0,0,0,0,1,"V",0,"PROL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",41,7.17,"VLo",5,8,17,2,0.41,-7,7,0,0,0,0,0,0,1,"V",0,"PROL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",41,7.17,"VLo",5,8,17,3,0.35,-6,6,0,1,0,0,0,0,2,"V",1,"PROL",1,"Sh",2,0,1,0,0,0,1
"AUTOR",41,7.17,"VLo",5,8,17,3,0.35,-6,6,0,1,0,0,0,0,2,"V",1,"PROL",1,"Sh",1,0,0,0,1,0,0
"AUTOR",41,7.17,"VLo",5,8,17,4,0.29,-5,5,0,0,0,1,1,0,1,"M",1,"PROL",1,"Sh",4,0,1,0,1,0,2
"AUTOR",41,7.17,"VLo",5,8,17,5,0.24,-4,4,1,2,0,1,3,0,4,"M",1,"SYL",3,"Sh",4,1,2,0,1,0,1
"AUTOR",41,7.17,"VLo",5,8,17,5,0.24,-4,4,1,1,1,0,0,0,4,"V",1,"SYL",1,"Sh",4,0,1,0,0,0,3
"AUTOR",41,7.17,"VLo",5,8,17,5,0.24,-4,4,0,2,1,0,0,0,4,"C",0,"SYL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",41,7.17,"VLo",5,8,17,5,0.24,-4,4,1,1,1,0,0,0,4,"V",0,"SYL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",41,7.17,"VLo",5,8,17,6,0.18,-3,3,0,0,0,1,3,0,1,"M",1,"PROL",3,"Sh",6,0,3,0,1,0,3
"AUTOR",41,7.17,"VLo",5,8,17,7,0.12,-2,2,1,3,1,0,0,0,6,"M",1,"SYL",4,"Sh",5,0,3,0,1,0,1
"AUTOR",41,7.17,"VLo",5,8,17,7,0.12,-2,2,1,2,2,0,0,0,6,"V",1,"SYL",0.5,"Sh",2,0,1,0,0,0,1
"AUTOR",41,7.17,"VLo",5,8,17,7,0.12,-2,2,0,3,2,0,0,0,6,"C",0,"SYL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",41,7.17,"VLo",5,8,17,7,0.12,-2,2,1,2,2,0,0,0,6,"V",0,"SYL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",41,7.17,"VLo",5,8,17,7,0.12,-2,2,1,2,2,0,0,0,6,"V",0,"SYL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",41,7.17,"VLo",5,8,17,7,0.12,-2,2,1,3,1,0,0,0,6,"M",0,"SYL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",41,7.17,"VLo",5,8,17,8,0.06,-1,1,0,0,1,0,0,0,2,"C",1,"SYL",1,"Sh",1,0,0,0,1,0,0
