tesi,unit,parent_length_cm,unit_2,diam,class,shoot_ID,tree,parent_length_node,parent_rank_node,median_distance,norm_median_distance,abs_norm_median_distance,abs_median_distance,sylleptic,v,m,cl,nu,b,tot_buds_mvb,tot_buds_mv,shoot_type,nb_new_shoots,c_syl,v_syl,m_syl,tot_buds_syl_m_v
AUTOR,cm,41.5,mm,5.46,VLo,25,8,14,3,-4.5,-0.3,0.32,4.5,1,0,0,1,3,0,0,0,SYLLEPTIC,1,1,0,3,3
AUTOR,cm,4,mm,2.38,Sh,26,8,6,5,1.5,0.2,0.25,1.5,1,0,0,0,0,0,0,0,SYLLEPTIC,0,1,1,0,1
AUTOR,cm,29.8,mm,5.62,Lo,27,8,10,2,-3.5,-0.3,0.35,3.5,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,2,0,2
AUTOR,cm,29.8,mm,5.62,Lo,27,8,10,3,-2.5,-0.2,0.25,2.5,1,0,0,2,2,0,0,0,SYLLEPTIC,1,1,0,2,2
AUTOR,cm,29.8,mm,5.62,Lo,27,8,10,6,0.5,0,0.05,0.5,1,0,0,1,2,0,0,0,SYLLEPTIC,2,1,1,1,2
AUTOR,cm,29.8,mm,5.62,Lo,27,8,10,7,1.5,0.1,0.15,1.5,1,0,0,1,2,0,0,0,SYLLEPTIC,1,1,0,1,1
AUTOR,cm,29.8,mm,5.62,Lo,27,8,10,8,2.5,0.2,0.25,2.5,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,1,0,1
AUTOR,cm,35,mm,5,Lo,29,8,13,2,-5,-0.4,0.38,5,1,0,0,1,2,0,0,0,SYLLEPTIC,0,1,0,1,1
AUTOR,cm,35,mm,5,Lo,29,8,13,3,-4,-0.3,0.31,4,1,0,0,1,1,0,0,0,SYLLEPTIC,1,1,1,1,2
AUTOR,cm,35,mm,5,Lo,29,8,13,5,-2,-0.2,0.15,2,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,1,2,3
AUTOR,cm,35,mm,5,Lo,29,8,13,6,-1,-0.1,0.08,1,1,0,0,1,2,0,0,0,SYLLEPTIC,1,1,0,1,1
AUTOR,cm,35,mm,5,Lo,29,8,13,7,0,0,0,0,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,3,0,3
AUTOR,cm,35,mm,5,Lo,29,8,13,8,1,0.1,0.08,1,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,1,1,2
AUTOR,cm,35,mm,5,Lo,29,8,13,9,2,0.2,0.15,2,1,0,0,1,3,0,0,0,SYLLEPTIC,2,1,2,1,3
AUTOR,cm,35,mm,5,Lo,29,8,13,10,3,0.2,0.23,3,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,1,0,1
AUTOR,cm,35,mm,5,Lo,29,8,13,12,5,0.4,0.38,5,1,0,0,0,0,0,0,0,SYLLEPTIC,0,1,2,0,2
AUTOR,cm,49.6,mm,6.64,VLo,30,8,17,4,-5,-0.3,0.29,5,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,0,0,0
AUTOR,cm,49.6,mm,6.64,VLo,30,8,17,5,-4,-0.2,0.24,4,1,0,0,1,1,0,0,0,SYLLEPTIC,2,1,2,3,5
AUTOR,cm,3,mm,2.63,Sh,31,8,4,2,-0.5,-0.1,0.12,0.5,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,1,0,1
AUTOR,cm,3,mm,2.63,Sh,31,8,4,3,0.5,0.1,0.12,0.5,1,0,0,0,0,0,0,0,SYLLEPTIC,0,1,1,0,1
AUTOR,cm,15.6,mm,3.28,Me,32,8,8,2,-2.5,-0.3,0.31,2.5,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,1,0,1
AUTOR,cm,15.6,mm,3.28,Me,32,8,8,3,-1.5,-0.2,0.19,1.5,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,2,2,4
AUTOR,cm,15.6,mm,3.28,Me,32,8,8,7,2.5,0.3,0.31,2.5,1,0,0,0,0,0,0,0,SYLLEPTIC,0,1,0,0,0
AUTOR,cm,12.2,mm,4.1,Me,34,8,7,5,1,0.1,0.14,1,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,0,4,4
AUTOR,cm,12.2,mm,4.1,Me,34,8,7,6,2,0.3,0.29,2,1,0,0,1,6,0,0,0,SYLLEPTIC,1,1,0,3,3
AUTOR,cm,27.6,mm,4.84,Lo,36,8,9,2,-3,-0.3,0.33,3,1,0,0,2,4,0,0,0,SYLLEPTIC,2,1,0,4,4
AUTOR,cm,27.6,mm,4.84,Lo,36,8,9,3,-2,-0.2,0.22,2,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,3,0,3
